,mse,rmse,mae,r2_score,mape,explained_variance,mean_residual,std_residual,max_residual,prediction_std,prediction_range,pred_mean,pred_std,pred_min,pred_max,true_mean,true_std,true_min,true_max,poor_band_accuracy,fair_band_accuracy,good_band_accuracy,very_good_band_accuracy,excellent_band_accuracy,within_50_points_accuracy,within_25_points_accuracy,spearman_correlation,pearson_correlation,kendall_tau,low_risk_precision,low_risk_recall,high_risk_precision,high_risk_recall
merchants_mlp_regressor,0.5091831823817631,0.7135707269652835,0.5319403530828415,0.9999674642348393,0.09248142242826221,0.9999684038593949,0.12126450326020406,0.7031913698495019,16.414247959374507,125.17874326749283,609.900470365435,599.6311354967397,125.17874326749283,290.51377759393955,900.4142479593745,599.7524,125.09977056030118,304.0,884.0,0.9957897132453345,0.9868783068783069,0.9777382012466608,0.9946284691136974,0.9822335025380711,1.0,1.0,0.9999904750320456,0.9999844110264968,0.9980404433420631,1.0,0.9900159744408946,0.9996958945767866,0.9980771177006376
merchants_linear_regression,247.73087616231874,15.739468738249037,11.17115016746228,0.9841705030944633,2.0825792472545954,0.9841717718462114,-0.14091098151941434,15.738837957664028,302.1345691014859,124.15971191703015,1047.5493097320773,599.8933109815193,124.15971191703015,1.8654308985140915,1049.4147406305915,599.7524,125.09977056030118,304.0,884.0,0.9368456986800182,1.0,0.8293262095577323,0.7403760071620412,0.6852791878172588,0.98465,0.9633,0.9999814439275692,0.9920544126746199,0.997108014361475,1.0,0.8662140575079872,1.0,0.9908916101609149
merchants_ridge,247.7314737936823,15.739487723356257,11.17183569446443,0.98417046490704,2.0826903989665153,0.9841717336542659,-0.1409107303939792,15.73885694578047,302.13575107194174,124.15794553390306,1047.5363620494895,599.893310730394,124.15794553390306,1.8642489280582595,1049.4006109775478,599.7524,125.09977056030118,304.0,884.0,0.9368456986800182,1.0,0.8293262095577323,0.7403760071620412,0.6852791878172588,0.9847,0.9633,0.9999815084029885,0.992054387400786,0.9971137007586595,1.0,0.8662140575079872,1.0,0.9908916101609149
merchants_lasso,256.3069356426251,16.009588865508853,12.307753060997229,0.9836225104134207,2.2658940931989218,0.9836240484008968,-0.15514325989405775,16.00883712864662,291.27455082982465,121.45203612544393,1026.2694253418433,599.907543259894,121.45203612544393,12.725449170175352,1038.9948745120187,599.7524,125.09977056030118,304.0,884.0,0.9357077833409194,1.0,0.8052834669041259,0.7085944494180841,0.6637055837563451,0.98845,0.9709,0.9999449195463627,0.9920039835778094,0.9945639422858875,1.0,0.8448482428115016,0.9996933455995094,0.9897783625139156
merchants_svr,409.1451962397941,20.227337843616347,14.235308406268294,0.9738564577895028,2.588636399982092,0.9738652488987414,-0.37091837759105356,20.223936703741913,169.6609692773693,119.00737578732556,788.1916622536543,600.1233183775911,119.00737578732556,203.3621522917308,991.5538145453851,599.7524,125.09977056030118,304.0,884.0,0.9692762858443332,0.9722751322751323,0.7628376372810923,0.6275738585496866,0.5241116751269036,0.9712,0.82765,0.9947740342187167,0.9875102279556502,0.9400436270490607,0.9903958772546264,0.8442492012779552,0.9801377382972353,0.9938265357757312
merchants_gradient_boosting,538.2273897675191,23.199728226156424,18.425038444231973,0.9656083693208365,3.30425913343308,0.9656176597231779,-0.38130611878837617,23.196594478743936,140.95726097741846,110.26403965484432,683.3546471626004,600.1337061187884,110.26403965484432,240.73742536668183,924.0920725292822,599.7524,125.09977056030118,304.0,884.0,0.9393491124260355,0.928042328042328,0.7393885425942416,0.5649059982094897,0.5532994923857868,0.96735,0.7314,0.9911518937259169,0.9884738674723699,0.9200512756969917,0.9929612870789342,0.7887380191693291,0.9630750605326877,0.9660965489322944
merchants_random_forest,974.434957725,31.215940763094103,24.5004745,0.9377355968424056,4.413133220443513,0.937799802966662,-1.0024085,31.199841905434837,170.01,110.73585960226855,544.8900000000001,600.7548085000001,110.73585960226855,325.09,869.98,599.7524,125.09977056030118,304.0,884.0,0.9152253072371416,0.7828571428571428,0.7025823686553874,0.5998209489704566,0.5025380710659898,0.89445,0.5935,0.971945741467124,0.9723126217845188,0.856563185328216,0.9443927408096789,0.8105031948881789,0.9283269579222871,0.9333063455115879
merchants_elastic_net,1613.5728794164238,40.16930270015181,35.15381917264642,0.8968959893201016,6.279431789976235,0.8969092022442244,-0.45473248856161635,40.16672874133853,127.96452663898339,89.46228096310095,741.1916011504218,600.2071324885616,89.46228096310095,176.0354733610166,917.2270745114383,599.7524,125.09977056030118,304.0,884.0,0.8873463814292216,0.9758730158730159,0.40991392104482044,0.0810205908683975,0.09137055837563451,0.747,0.33275,0.9915049456702012,0.9846611729680304,0.9221260297908639,1.0,0.5271565495207667,0.964968152866242,0.9506122862058496
